Product Name,Company Name,Product Code,Use,SDS #,Version #,Issue Date,Revision Date,Supersedes Date,HAZMAT Chemical Composition,HFRP Info,External Link To SDS
All Purpose Cleaner Spray,ULINE,S-19455,Office Cleaning,N/A,1.0,03/07/2018,03/07/2018,N/A,2-(2-butoxyethoxy)ethanol,0/0/0/B,https://www.uline.com/PDF/SS-19455.pdf
Uline All-Purpose Cleaner Refill,ULINE,S-19456,Office Cleaning,N/A,1.0,04/23/2021,N/A,N/A,2-(2-butoxyethoxy)ethanol,0/0/0/B,https://img.uline.com/is/content/uline/SS-19456pdf
Uline Air Freshener - Cool Linen,ULINE,S-17147,Office Cleaning,N/A,1.0,11/18/2022,N/A,N/A,N/A,0/1/0/0,https://img.uline.com/is/content/uline/SS-17147pdf
Clorox® Germicidal Bleach Concentrated,"S.C. Johnson & Son, Inc.",N/A,Office Cleaning,N/A,2.0,05/08/2020,05/15/2020,N/A,Sodium hypochlorite,3/0/0/X,https://www.thecloroxcompany.com/wp-content/uploads/2020/06/CloroxPro%C2%AE-Clorox%C2%AE-Germicidal-Bleach_Multilingual2.pdf
Uline Toilet Bowl Cleaner,ULINE,S-24321,Office Cleaning,N/A,1.0,12/09/2021,N/A,N/A,Hydrochloric Acid,3/0/0/0,https://img.uline.com/is/content/uline/SS-24321pdf
Uline Glass Cleaner,ULINE,S-19452,Office Cleaning,N/A,1.0,06/07/2021,N/A,N/A,"2-Propanol, Surfactant Blend, Ammonia",0/0/0/0,https://img.uline.com/is/content/uline/SS-19452pdf
Uline Multi-Purpose Cleaner - Lavender,ULINE,S-19454,Office Cleaning,N/A,1.0,01/28/2021,N/A,N/A,Surfactant Blend,2/0/0/0,https://img.uline.com/is/content/uline/SS-19454pdf
30 SecondsMold & MIldew Remover,30 Seconds Cleaners,30S110,Office Cleaning,N/A,1.0,01/10/2023,N/A,N/A,Sodium hypochlorite,3/0/0/0,https://30secondscleaners.com/mwdownloads/download/link/id/2308?srsltid=AfmBOopMqNLp6v6WuhaT0C1VLW281Lznlv2oNFuV4zXYCPq4oPifptqW
ORANGE-SOL: Multi-Use Citrus Solvent,Orange-Sol,N/A,General Cleaning,50026-001,2.0,04/03/1992,02/07/2002,04/03/1992,N/A,0/2/0/0,https://www.jondon.com/media/pdf/msds_docs/MS-CC-DMU.pdf?srsltid=AfmBOoqHikNkaEaAmjQCXMKo8vB6yQf_fBAXTKFtEs1kXS_WIBTfe6S4
 Pure Bright Germicidal Ultra Bleach,KIK Custom Products,11008-635041,General Cleaning,59647-21014,1.0,04/14/2015,N/A,N/A,Sodium hypochlorite,2/0/1/0,https://amp.generalair.com/msdsdocs/jmzpbgubs.pdf
Uline Liquid Ice Melt,ULINE,N/A,Outdoor Maintenance,N/A,5.0,12/01/2015,N/A,N/A,Calcium Chloride,1/0/0/0,https://img.uline.com/is/content/uline/SS-25016pdf
Multi-Purpose Lubricant & Corrosion Inhibitor,CRC,03/24/1908,Machine Maintenance,N/A,1.0,03/28/2020,N/A,N/A,"petrolatum , acetate, butyl stearate, paraffin oils (petroleum), distillates (petroleum",1/4/0/0,https://www.crcindustries.com/media/msdsen/msds_en-1003257.pdf
Uline Antibacterial Handsoap,ULINE,S-17080,Personell Cleaning,N/A,1.0,02/04/2022,N/A,N/A,"Benzalkonium Chloride 0.13% w/w 68391-01-5 0 - 10 - -
Water 7732-18-5 50 - 100 - -
Lauramine Oxide 1643-20-5 0 - 10 - -
Cocamidopropyl Betaine 61789-40-0 0 - 10 - -
Lauramidopropylamine Oxide 61792-31-2 0 - 10 - -
Sodium Chloride 7647-14-5 0 - 10 - -
Myristamidopropylamine Oxide 67806-10-4 0 - 10 - -
Glycerin 56-81-5 0 - 10 - -
Fragrance Proprietary 0 - 10 - -
Disteareth-75 IPDI 53533-75-8 0 - 10 - -
PEG-150 Distearate 9005-08-7 0 - 10 - -
Citric Acid 77-92-9 0 - 10 - -
Tetrasodium EDTA 64-02-8 0 - 10 - -
Benzophenone-4 4065-45-6 0 - 10 - -
Sodium Benzoate 532-32-1 0 - 10 - -
Red 33 3567-66-6 0 - 10 - -
Red 40 25956-17-6 0 - 10 - -
Yellow 5 ",3/0/0/0,https://img.uline.com/is/content/uline/SS-17080pdf
Crystal Simple Green® Industrial Cleaner & Degreaser,"Sunshine Makers, Inc.",43318000188,Indoor Cleaning,19000-22B,N/A,06/08/2022,N/A,02/01/2022,C9-11 Alcohols Ethoxylated,1/0/0/0,https://cdn.simplegreen.com/downloads/SDS_EN-US_SimpleGreenCrystalIndustrialCleanerDegreaser.pdf
EverPrime™,"Waterless Co., Inc.",N/A,Indoor Cleaning,1514,1.0,01/10/2018,N/A,N/A,N/A,1/0/0/0,https://static1.squarespace.com/static/55f0bb56e4b0292a721109c4/t/5a4d4cfc71c10b69178b0eb6/1515015422878/SDS+EverPrime%C2%81+1514_2018.pdf
FABULOSO ALL PURPOSE CLEANER LIQUID OCEAN COOL,Colgate-Palmolive Co,200000053409,Indoor Cleaning,660000004749,1.0,07/31/2017,07/31/2017,N/A,Sodium Dodecyl Benzene Sulfonate (Linear),1/1/0/0,https://www.uline.com/PDF/SS-18398.pdf
Uline Dish Soap,ULINE,S-25783,Indoor Cleaning,N/A,1.0,06/28/2023,N/A,N/A,Sodium C14-16 Olefin Sulfonate,3/0/0/0,https://img.uline.com/is/content/uline/SS-25782pdf
Rust-oleum HighPerformance Yellow Safety Paint,Rust-Oleum,242258,General Mainteneance,N/A,2.0,10/30/2017,10/30/2017,10/03/2016,21% of the mixture consists of ingredient(s) of unknown acute toxicity,2/2/0/0,https://dkstatic.blob.core.windows.net/resources/1126702/242258.pdf
,kroil,,General Mainteneance,N/A,2.0,10/30/2017,10/3/02017,10/3/02017,21% of the mixture consists of ingredient(s) of unknown acute toxicity,2/2/0/0,
HENRY® EASYRELEASE Adhesive Remover,W.W. Henry Company,70010862,General Cleaning,N/A,1.0,01/07/2021,01/07/2021,N/A,Ethanolamine / 2-butoxyethoxy,3/0/0/0,https://images.homedepot-static.com/catalog/pdfImages/57/57ffc0ed-765c-4dd3-993d-0212e5b26bba.pdf
Klean Strip Green Adhesive Remover,W. M. Barr,N/A,General Cleaning,N/A,N/A,07/28/2015,N/A,07/10/2015,Benzenemethanol (Benzyl alcohol),2/1/0/0,https://images.thdstatic.com/catalog/pdfImages/00/0002fd0b-96f8-40a7-ae9a-c2cca37951bc.pdf
LU™910 Food Grade Silicone Lubricant Aerosol,Sprayon Products Group,SC0910000,General Cleaning,SHW-85-NA-GHS-US,8.01,09/22/2021,09/22/2021,04/17/2021,Trichloroethylene,2/3/0/0,https://www.paintdocs.com/docs/webPDF.jsp?SITEID=SO&doctype=SDS&lang=en&prodno=075577759316&cntry=US
Lysol Brand II Kills 99.9% of Viruses & Bacteria** All Purpose Purpose Cleaner Complete Clean Lemon Breeze Scent,Reckitt Benckiser LLC.,FF372256,General Cleaning,D0203066,3.0,04/24/2015,N/A,02/07/2012,benzyl-C12-16-alkyldimethyl,1/0/0/B,https://resources.cleanitsupply.com/MSDS/RAC75352EA_SDS.PDF
Mr. Clean Professional Glass and Multi-Surface Cleaner - Ready to Use,Procter & Gamble,91483190_PROF_NG,General Cleaning,N/A,1.0,03/20/2019,03/20/2019,N/A,N/A,0/1/0/0,https://resources.cleanitsupply.com/MSDS/PGC81308_SDS.PDF
Nviroclean™,"Waterless Co., Inc.",N/A,General Cleaning,1614,1.0,01/10/2018,N/A,N/A,Dipropylene glycol monomethyl ether,0/0/0/0,https://static1.squarespace.com/static/55f0bb56e4b0292a721109c4/t/5a4d4d7e4192020626615fa2/1515015553407/SDS+Nviroclean+1614_2018.pdf
Professional Lysol® Brand Kills 99.9% of Viruses & Bacteria Power Toilet Bowl Cleaner (Liquid),Reckitt Benckiser LLC.,FF0259960,General Cleaning,D0102520,1.0,11/23/2015,11/23/2015,N/A,"Hydrochloric acid / Amines, tallow alkyl, ethoxylated / Alcohols, C12-16, ethoxylated",3/0/1/D,http://www.rbnainfo.com/MSDS/US/Professional%20Lysol%20Brand%20TBC%20EN%20GHS.pdf
Simple Green® All-Purpose Cleaner,"Sunshine Makers, Inc.",43318000652,General Cleaning,13000-21A,N/A,02/01/2021,N/A,08/08/2018,C9-11 Alcohols Ethoxylated,0/0/0/B,https://cdn.simplegreen.com/downloads/SDS_EN-US_SimpleGreenAllPurposeCleaner.pdf
Simple Green® Industrial Cleaner & Degreaser,"Sunshine Makers, Inc.",43318000003,Machine Cleaning,13008-21A,N/A,06/03/2021,N/A,05/31/2018,C9-11 Alcohols Ethoxylated,0/0/0/B,https://cdn.simplegreen.com/downloads/SDS_EN-US_SimpleGreenIndustrialCleanerDegreaser.pdf
SOFTSOAP ANTIBACTERIAL LIQUID SOAP - HAND CRISP CLEAN,Colgate-Palmolive Co,2E+11,Office Cleaning,6.6E+11,1.1,N/A,04/05/2016,N/A,CETRIMONIUM CHLORIDE ,3/1/0/0,http://sds.staples.com/msds/789230.pdf
ULTRA PALMOLIVE ANTIBACTERIAL DISH LIQUID,Colgate-Palmolive Co,2E+11,Office Cleaning,6.6E+11,1.6,06/09/2016,06/17/2019,N/A,Sodium Laureth Sulfate,3/1/0/0,https://content.oppictures.com/Master_Images/Master_PDF_Files/CPC45038_SDS.PDF
Ultra Shine Dishwashing Liquid-Lemon,Ultra Soap International,N/A,Office Cleaning,112000,N/A,N/A,04/29/2016,05/09/2015,Sodium Laureth Sulfate,3/1/0/0,http://ultrasoap.com/assets/ultra-sds-ultra-shine-lemon-dish.pdf
WINDEX® ORIGINAL GLASS CLEANER,"S.C. Johnson & Son, Inc.",N/A,Office Cleaning,3.5E+11,1.0,09/06/2016,N/A,N/A,N/A,1/0/0/0,https://beta.lakeland.edu/AboutUs/MSDS/PDFs/3258/Windex%20Original%20Glass%20Cleaner%20(SC%20Johnson)%201-23-18.pdf
A118-4 Additive for Markem 9450 Coders,Markem Imaje,A118-4,Coder,UN1193,0.0,07/13/2022,07/13/2022,N/A,Methyl ethyl ketone,1/3/0/0,https://www.markem-imaje.com/services-support/safety-data-sheets
MB175-4 Ink for Markem 9450 Coders,Markem Imaje,MB175-4,Coder,UN1210,2.0,08/18/2022,07/13/2022,N/A,Methyl ethyl ketone,1/3/0/0,https://www.markem-imaje.com/services-support/safety-data-sheets
SI-CIJ9020 Black Ink,Squid Ink,SI-CIJ9020,Coder,N/A,1.2,02/25/2015,06/15/2020,N/A,butanone / 1-methoxy-2-propanol,1/3/0/0,https://drive.google.com/drive/folders/1UEq_4ifSSUOTW7ufJqijrt9dSyCHvpun
SI-CIJ9030 Black Ink,Squid Ink,SI-CIJ9030,Coder,N/A,1.0,12/05/2017,12/05/2017,N/A,butanone / ethyl methyl ketone,2/3/0/0,https://drive.google.com/drive/folders/1UEq_4ifSSUOTW7ufJqijrt9dSyCHvpun
SI-CIJ9090 Make-Up,Squid Ink,SI-CIJ9090,Coder,N/A,1.2,08/11/2015,06/15/2020,N/A,"butanone / ethyl (S)-2-hydroxypropionate, ethyl L-lactate, ethyl-(S)-lactate",1/3/0/0,https://drive.google.com/drive/folders/1UEq_4ifSSUOTW7ufJqijrt9dSyCHvpun
3M Silicone Spray,3M,62-4699-4930-9 (8),Lubricant,N/A,5.0,05/24/2018,07/01/2016,07/01/2016,"Acetone, Hydrotreated Light Naphtha (Petroleum), Propane, Poly(Dimethylsiloxane, Methylcylohexane, Solvent Naphtha",2/4/0/0,https://www.uline.com/PDF/SS-18768.pdf
Rapid Tap Cutting Oil,Relton Corporation,N/A,Lubricant,N/A,1.0,03/30/2015,New Issue,N/A,"Mineral oil (70-90%), C14-C16 chlorinated paraffin (<40%), Calcium sulfonate (2-3%)",1/1/0/C,https://sojoindustries0.sharepoint.com/:b:/s/SojoSharedDocuments/EbfO-v_LeUVGh7iQZfYP8H0Bg0qFNk5YFUyjiuHDqEfHwA?e=Vuu1Vl
Spray-on Food Grade Silicone Lubricant,Sprayon Products,S00210,Lubricant,N/A,1,03/13/2015,N/A,N/A,"Hexane (42%), 2-Methylpentane (19.4%), Propane (15%), 3-Methylpentane (7.2%)",2/4/0/0,https://sojoindustries0.sharepoint.com/:b:/s/SojoSharedDocuments/EQXbYCMOjjZJuVk194M89-MBFerINpXAqnkF-XfnuA1jZQ?e=njAQch
Markem Imaje 320 Cleaner,Markem-Imaje,80000343204B,Coder,UN1993,4,04/22/2026,04/22/2026,,"Isopropyl Alcohol (~60-70%), Ethyl Acetate (~30-40%)",2/3/0/0,https://sojoindustries0.sharepoint.com/sites/SojoSharedDocuments/Shared%20Documents/SQF%20&%20QPI%20Folder/Archive/MSDS%20Information/Markem%20Imaje%20320%20Cleaner.pdf?CT=1778009111383&OR=ItemsView
"SPRAYON Machine Oil: LU700, H1, 10 oz, Aerosol Can, ISO Grade 32",Sprayon Products,S00700,Machine Maintenance,N/A,1,05/29/2015,N/A,N/A,"Aliphatic Solvent (67.5%), Paraffinic Mineral Oil (30%)",2/4/0/0,https://www.grainger.com/sds/pdf/220785.pdf
LPS DETEX FoodLube Sugar Dissolving Fluid,ITW Pro Brands,57716 / 57728 / C57701,Machine Maintenance,57716,1.2,6/14/2019,2/10/2023,5/22/2018,"Petroleum lubricants, corrosion inhibitors",1/1/0/0,https://www.itwprobrands.com/files/techdatasheets/LPSDETEXFOODLUBESugarDissolvingFluid-.pdf
Klean-Strip Denatured Alcohol,W.M. Barr / Klean-Strip,GSL26 / QSL26 series,Machine Maintenance,GKSL26,3.1,3/19/2020,8/10/2023,1/5/2018,"Ethanol, Methanol, Methyl Isobutyl Ketone",2/3/0/0,https://kleanstrip.com/heating-fuels/denatured-alcohol/
WD-40 EZ-REACH,WD-40 Company,EZ-REACH,Machine Maintenance,491567,2,4/8/2021,1/12/2024,9/15/2019,"Petroleum distillates, base oils, CO2 propellant",12/0/0,https://www.wd40.com/products/ez-reach/
CRC QD Electronic Cleaner,CRC Industries,5103,Machine Maintenance,5103,5.4,11/2/2020,9/18/2023,7/11/2019,"Hexane, ethanol, CO2",2/4/0/0,https://www.crcindustries.com/qd-174-electronic-cleaner-11-wt-oz/
Chemtronics Electro-Wash PX,Chemtronics,ES1605 / ES1610,Machine Maintenance,ES1605,4,8/16/2019,12/1/2022,4/20/2018,"n-Hexane, IPA, hydrocarbon propellants",2/4/0/0,https://www.chemtronics.com/electro-wash-px
AGS Sil-Glyde Silicone Compound,American Grease Stick,BK-4,Machine Maintenance,BK-4,2.3,2/14/2018,6/22/2021,10/9/2016,"Silicone compounds, petroleum oils",1/1/0/0,https://agscompany.com/product/sil-glyde-silicone-brake-lubricant/
CRC 3-36 Multi-Purpose Lubricant,CRC Industries,3005,Machine Maintenance,3005,3.8,1/27/2021,2/5/2024,3/18/2019,"Petroleum distillates, mineral oil",1/2/0/0,https://www.crcindustries.com/3-36-multi-purpose-lubricant-and-corrosion-inhibitor-11-wt-oz/
Bernzomatic Butane Fuel,Worthington Enterprises,BF56,Machine Maintenance,BF56,2.1,5/10/2019,7/14/2023,8/25/2017,Butane,1/4/0/0,https://www.bernzomatic.com/Products/Fuel-Cylinders/Butane/BF56
GOJO Natural Orange Pumice Hand Cleaner,GOJO Industries,0955 / 0956,Cleaner,955,1.9,6/1/2020,3/29/2023,11/12/2018,"Citrus solvents, pumice, surfactants",1/0/0/0,https://www.gojo.com/en/Product/0955-04
Great Stuff Fireblock Insulating Foam Sealant,DuPont,Fireblock,Machine Maintenance,FB136,6.2,9/17/2021,1/30/2024,5/6/2020,"Diphenylmethane diisocyanate (MDI), propane",2/4/1/0,https://www.greatstuff.dupont.com/products/greatstuff-fireblock.html
Loctite Threadlocker / Thread Smart,Henkel,242,Machine Maintenance,242,5,10/13/2020,11/8/2023,2/21/2019,"Dimethacrylate ester, cumene hydroperoxide",2/1/0/0,https://www.henkel-adhesives.com/us/en/product/threadlockers/loctite_2420.html
Lubriplate Grease,Lubriplate Lubricants Company,630-AA,Machine Maintenance,630-AA,2.7,1/4/2019,8/19/2022,6/15/2017,"Petroleum oil, lithium soap, additives",1/1/0/0,https://www.lubriplate.com/Products/Greases/Multi-Purpose-Greases/630-Series/630-AA
 Super Tec Break and Parts Cleaner,,,,,,,,,,,