Area / Location,Product Name,Company Name,Descriptor,Hazard Class,SDS Available,Food Grade Y/N,Approved By,Appr. Date,Storage Location,Use,SDS Link
,EyeSaline,Honeywell,Saline Solution,N/A,Yes,,Rmims,3/11/2026,Eyewash Station,Eyewash Station,
,Markem,Markem,Methyl ethyl Keytone Cleaner,Picture,Yes,,,,Flamable Cabinet,DateCoders,
,Rust - Oleum Spray Paint,,Spray Paint,Picture,Yes,,,,,Paint,
,Simple Green,,Industrial Cleaner and Degreaser,N/A,Yes,,Rmims,3/11/2026,,Cleaning,
,Lysol Wipes,Uline,Cleaning Wipes,N/A,Yes,,,,,Cleaning,
,Instant Cold Packs,Uline,Coldpack for Thermal Therapy,Picture,Yes,,,,,Burn Treatment?,
,Floor Science,Uline,Neutral Floor Cleaner Citrus Concentrate,N/A,Yes,,Rmims,3/11/2026,,Cleaning,
,Uline Glass Cleaner,Uline,Glass Cleaner,N/A,Yes,,Rmims,3/11/2026,,Cleaning,
,Tub o' Towels,Uline,Cleaning Wipes,Picture,Yes,,,,,Cleaning,
,2 in 1 Cleaner Disinfectant,Uline,Cleaning Disinfectant,Picture,Yes,,,,,Cleaning,
,Hand Soap Antibacterial,Uline,Antibacterial Handsoap,N/A,Yes,,Rmims,3/11/2026,,Hand Washing,
,Uline Multi-Purpose Cleaner - Lavender,Uline,Multi-Purpose Cleaner,N/A,Yes,,,,,Cleaning,
,Uline Toilet Bowl Cleaner,Uline,Toilet Bowl Cleaner,Picture,Yes,,,,,Cleaning,
,Sikaflex 1A,Sika,Construction Sealent,Picture,Yes,,,,,,
,Great Stuff,Dupont,Insulating Foam Sealent,Picture,Yes,,,,,,
,Spray On LU211,Spray On,Food Grade Silicone Lubricant,Picture,Yes,,,,,Lubricant,
,Garage Door Pro Lube,Aerospace Lubricants,Synthetic Spray Lubricant,Picture,Yes,,,,,Lubricant,
,Orange Goop,Critzas,Waterless Hand Cleaner,N/A,Yes,,,,,Hand Cleaning,
,Technomelt Cool 500,Henkel,Hot Glue?,Picture,Yes,,,,,Packaging,
,Permatex,,Anti-Seize,Picture,Yes,,,,,Lubricant,
,Blaster Penetrating Catalyst,,PB penetrating Catalyst,Picture,Yes,,,,,Penetrant,
,Goo Gone Pro - Power,,Adhesive Remover,Picture,Yes,,,,,Cleaner,
,Husky Airtool Oil,,Air Tool Oil,N/A,Yes,,,,,Lubricant,
,Blaster Hydraulic Jack Oil,,Hydraulic Jack Oil,Picture,Yes,,,,,Lubricant,
,Lubriplate,,Air Tool Lubricant,N/A,Yes,,,,,Lubricant,
,Plasti Dip,,Multi-Purpose Rubber Coating,Picture,Yes,,,,,Rubber Coating,
,Promar Interior Latex,,Paint,Picture,Yes,,,,,Paint,
,Rust - Oleum Low Odour Gloss,,Paint,Picture,Yes,,,,,Paint,
,FMO 100,,Food Machinery OIL ISO 32,N/A,Yes,,,,,Lubricant,
,WD - 40,,"Lubricant, Penetrant",Picture,Yes,,,,,Lubricant / Penetrant,
,Blaster White Lithium Grease,,Lubricant,Picture,Yes,,,,,Lubricant,
,Bostik Never-SEEZ Pure Nickel Special,,Anti-Seize,Picture,Yes,,,,,Lubricant,
,LPS FoodLube Sugar Dissolving Fluid,,Sugar Disolving Solution,N/A,Yes,,,,,Cleaning?,
,Quinsyn Plus,,Industrial Lubricant,N/A,Yes,,,,,Lubricant,
,Haverst King Bar and Chain Oil,,Lubricating Oil,N/A,Yes,,,,,Lubricant,
,Silicone Lubricant Low VOC,Uline,Silicone Lubricant,Picture,Yes,,,,,Lubricant,
,Fabulosa,,,,Yes,,,,,,
,Schnieder Solder Flux,,,,Yes,,,,,,
,Zep Citrus Degreaser,,,,Yes,,,,,,
,Bondo Short Stand Fiberglss filler,,,,Yes,,,,,,
,Spilfyter Kolor Safe Liquid Neutralizer for Acids,,,,Yes,,,,,,
,qc-fg,Quality Compressor,,,Yes,,,,,,
,Butane and Propane,,,,Yes,,,,,,
,windex,,,,Yes,,,,,,
,dieltric grease,klear,,,Yes,,,,,,
,crc food grade silicone,,,,Yes,,,,,,
,ice melt,,,,Yes,,,,,,
,zep spill absorbant,,,,Yes,,,,,,